Year,Type of period,Period,Avg rainfall(in mm),Avg temp(in centigrade)
2010,Monthly,JAN,69.5,0.8
2010,Monthly,FEB,71.7,1.6
2010,Monthly,MAR,65.1,5.5
2010,Monthly,APR,21.4,8.2
2010,Monthly,MAY,22.1,9.8
2010,Monthly,JUN,42.7,14.3
2010,Monthly,JUL,61.1,16.4
2010,Monthly,AUG,76.6,14.6
2010,Monthly,SEP,83.9,13.4
2010,Monthly,OCT,65,9.6
2010,Monthly,NOV,118.2,4.5
2010,Monthly,DEC,40.7,-1.2
2010,Season,Winter,228.7,1.52
2010,Season,Spring,108.6,7.85
2010,Season,Summer,180.5,15.08
2010,Season,Autumn,267.2,9.17
2010,Calendar Year,Annual,738.3,8.16
2011,Monthly,JAN,54.5,3.1
2011,Monthly,FEB,82,5.4
2011,Monthly,MAR,20.5,6
2011,Monthly,APR,10.3,10.7
2011,Monthly,MAY,48.5,11.5
2011,Monthly,JUN,62.9,13.5
2011,Monthly,JUL,71.7,14.4
2011,Monthly,AUG,94.1,14.6
2011,Monthly,SEP,43.2,14.3
2011,Monthly,OCT,62.1,11.4
2011,Monthly,NOV,35.6,8.5
2011,Monthly,DEC,76.2,4.5
2011,Season,Winter,177.2,2.34
2011,Season,Spring,79.4,9.38
2011,Season,Summer,228.7,14.18
2011,Season,Autumn,140.9,11.41
2011,Calendar Year,Annual,661.7,9.85
2012,Monthly,JAN,47.2,4.3
2012,Monthly,FEB,24.2,3.9
2012,Monthly,MAR,21.9,7.8
2012,Monthly,APR,140.9,6.4
2012,Monthly,MAY,62.3,10.3
2012,Monthly,JUN,141.5,12.5
2012,Monthly,JUL,96.3,14.6
2012,Monthly,AUG,87.6,15.7
2012,Monthly,SEP,95.3,12.5
2012,Monthly,OCT,86.4,8.2
2012,Monthly,NOV,111.8,5.8
2012,Monthly,DEC,127.7,3.6
2012,Season,Winter,147.6,4.25
2012,Season,Spring,225.1,8.19
2012,Season,Summer,325.4,14.26
2012,Season,Autumn,293.5,8.81
2012,Calendar Year,Annual,1043,8.81
2013,Monthly,JAN,69.8,2.8
2013,Monthly,FEB,34.3,2.6
2013,Monthly,MAR,60.1,1.9
2013,Monthly,APR,22.1,6.8
2013,Monthly,MAY,76.4,9.9
2013,Monthly,JUN,40.8,12.9
2013,Monthly,JUL,55.9,17.3
2013,Monthly,AUG,61.2,16.2
2013,Monthly,SEP,44.1,12.9
2013,Monthly,OCT,111.5,11.6
2013,Monthly,NOV,52.5,5.3
2013,Monthly,DEC,76.7,5.4
2013,Season,Winter,231.8,2.98
2013,Season,Spring,158.6,6.2
2013,Season,Summer,157.9,15.52
2013,Season,Autumn,208.1,9.95
2013,Calendar Year,Annual,705.5,8.85
2014,Monthly,JAN,118.5,4.5
2014,Monthly,FEB,81.8,5.3
2014,Monthly,MAR,44.2,6.8
2014,Monthly,APR,42,9.3
2014,Monthly,MAY,104.4,11.5
2014,Monthly,JUN,45.5,14.3
2014,Monthly,JUL,54.7,16.7
2014,Monthly,AUG,96.2,14.4
2014,Monthly,SEP,18.2,13.9
2014,Monthly,OCT,83,11.3
2014,Monthly,NOV,81.6,7.6
2014,Monthly,DEC,61.1,4.4
2014,Season,Winter,277.1,5.05
2014,Season,Spring,190.7,9.19
2014,Season,Summer,196.4,15.1
2014,Season,Autumn,182.7,10.94
2014,Calendar Year,Annual,831.2,10.01
2015,Monthly,JAN,62.7,3.5
2015,Monthly,FEB,37,3.5
2015,Monthly,MAR,45.6,5.6
2015,Monthly,APR,25.6,8
2015,Monthly,MAY,82.5,10
2015,Monthly,JUN,34.9,12.9
2015,Monthly,JUL,85.3,14.9
2015,Monthly,AUG,73.2,15.4
2015,Monthly,SEP,39.1,12
2015,Monthly,OCT,65,10.1
2015,Monthly,NOV,116.6,8.1
2015,Monthly,DEC,148,8
2015,Season,Winter,160.8,3.81
2015,Season,Spring,153.8,7.87
2015,Season,Summer,193.3,14.42
2015,Season,Autumn,220.7,10.07
2015,Calendar Year,Annual,815.5,9.38
2016,Monthly,JAN,121.7,4.4
2016,Monthly,FEB,53,3.9
2016,Monthly,MAR,66.3,5.3
2016,Monthly,APR,70.3,6.4
2016,Monthly,MAY,36.2,11
2016,Monthly,JUN,76.5,13.5
2016,Monthly,JUL,51.2,16
2016,Monthly,AUG,73.2,16
2016,Monthly,SEP,48.6,15.2
2016,Monthly,OCT,50.1,10.2
2016,Monthly,NOV,93.1,4.8
2016,Monthly,DEC,37.9,5.6
2016,Season,Winter,322.6,5.48
2016,Season,Spring,172.9,7.59
2016,Season,Summer,200.9,15.19
2016,Season,Autumn,191.8,10.06
2016,Calendar Year,Annual,778.2,9.38
2017,Monthly,JAN,39.4,3.3
2017,Monthly,FEB,65.9,5.3
2017,Monthly,MAR,63.9,7.6
2017,Monthly,APR,19.4,8.2
2017,Monthly,MAY,42.9,12.2
2017,Monthly,JUN,116,15.1
2017,Monthly,JUL,81.7,15.4
2017,Monthly,AUG,64.4,15
2017,Monthly,SEP,85,12.9
2017,Monthly,OCT,50.1,11.6
2017,Monthly,NOV,69.1,5.8
2017,Monthly,DEC,56.8,3.8
2017,Season,Winter,143.2,4.73
2017,Season,Spring,126.1,9.34
2017,Season,Summer,262,15.16
2017,Season,Autumn,204.2,10.11
2017,Calendar Year,Annual,754.5,9.71
2018,Monthly,JAN,71.5,4.1
2018,Monthly,FEB,46.7,2.1
2018,Monthly,MAR,95.3,3.8
2018,Monthly,APR,78.2,8.6
2018,Monthly,MAY,35.5,12.2
2018,Monthly,JUN,26.6,14.6
2018,Monthly,JUL,42.6,17.8
2018,Monthly,AUG,57.7,16.2
2018,Monthly,SEP,58.6,13
2018,Monthly,OCT,66.3,10
2018,Monthly,NOV,71.6,7.4
2018,Monthly,DEC,71,5.4
2018,Season,Winter,175.1,3.37
2018,Season,Spring,209,8.21
2018,Season,Summer,126.9,16.21
2018,Season,Autumn,196.4,10.12
2018,Calendar Year,Annual,721.6,9.64
2019,Monthly,JAN,22.8,3.4
2019,Monthly,FEB,36.2,6
2019,Monthly,MAR,82.2,7
2019,Monthly,APR,27.7,7.8
2019,Monthly,MAY,52.1,10.3
2019,Monthly,JUN,114.3,13.4
2019,Monthly,JUL,75.6,17
2019,Monthly,AUG,89.1,16.5
2019,Monthly,SEP,104.9,13.4
2019,Monthly,OCT,115.4,8.8
2019,Monthly,NOV,124,5.6
2019,Monthly,DEC,61.4,4.9
2019,Season,Winter,130.4,4.89
2019,Season,Spring,162.1,8.38
2019,Season,Summer,279,15.67
2019,Season,Autumn,344.4,9.26
2019,Calendar Year,Annual,905.9,9.54