species,bill_length_mm,bill_depth_mm,flipper_length_mm
Adelie,39.1,18.7,181
Adelie,39.5,17.4,186
Adelie,40.3,18,195
Adelie,36.7,19.3,193
Adelie,39.3,20.6,190
Adelie,38.9,17.8,181
Adelie,39.2,19.6,195
Adelie,34.1,18.1,193
Adelie,42,20.2,190
Adelie,37.8,17.1,186
Adelie,37.8,17.3,180
Adelie,41.1,17.6,182
Adelie,38.6,21.2,191
Adelie,34.6,21.1,198
Adelie,36.6,17.8,185
Adelie,38.7,19,195
Adelie,42.5,20.7,197
Adelie,34.4,18.4,184
Adelie,46,21.5,194
Adelie,37.8,18.3,174
Adelie,37.7,18.7,180
Adelie,35.9,19.2,189
Adelie,38.2,18.1,185
Adelie,38.8,17.2,180
Adelie,35.3,18.9,187
Adelie,40.6,18.6,183
Adelie,40.5,17.9,187
Adelie,37.9,18.6,172
Adelie,40.5,18.9,180
Adelie,39.5,16.7,178
Adelie,37.2,18.1,178
Adelie,39.5,17.8,188
Adelie,40.9,18.9,184
Adelie,36.4,17,195
Adelie,39.2,21.1,196
Adelie,38.8,20,190
Adelie,42.2,18.5,180
Adelie,37.6,19.3,181
Adelie,39.8,19.1,184
Adelie,36.5,18,182
Adelie,40.8,18.4,195
Adelie,36,18.5,186
Adelie,44.1,19.7,196
Adelie,37,16.9,185
Adelie,39.6,18.8,190
Adelie,41.1,19,182
Adelie,37.5,18.9,179
Adelie,36,17.9,190
Adelie,42.3,21.2,191
Adelie,39.6,17.7,186
Adelie,40.1,18.9,188
Adelie,35,17.9,190
Adelie,42,19.5,200
Adelie,34.5,18.1,187
Adelie,41.4,18.6,191
Adelie,39,17.5,186
Adelie,40.6,18.8,193
Adelie,36.5,16.6,181
Adelie,37.6,19.1,194
Adelie,35.7,16.9,185
Adelie,41.3,21.1,195
Adelie,37.6,17,185
Adelie,41.1,18.2,192
Adelie,36.4,17.1,184
Adelie,41.6,18,192
Adelie,35.5,16.2,195
Adelie,41.1,19.1,188
Adelie,35.9,16.6,190
Adelie,41.8,19.4,198
Adelie,33.5,19,190
Adelie,39.7,18.4,190
Adelie,39.6,17.2,196
Adelie,45.8,18.9,197
Adelie,35.5,17.5,190
Adelie,42.8,18.5,195
Adelie,40.9,16.8,191
Adelie,37.2,19.4,184
Adelie,36.2,16.1,187
Adelie,42.1,19.1,195
Adelie,34.6,17.2,189
Adelie,42.9,17.6,196
Adelie,36.7,18.8,187
Adelie,35.1,19.4,193
Adelie,37.3,17.8,191
Adelie,41.3,20.3,194
Adelie,36.3,19.5,190
Adelie,36.9,18.6,189
Adelie,38.3,19.2,189
Adelie,38.9,18.8,190
Adelie,35.7,18,202
Adelie,41.1,18.1,205
Adelie,34,17.1,185
Adelie,39.6,18.1,186
Adelie,36.2,17.3,187
Adelie,40.8,18.9,208
Adelie,38.1,18.6,190
Adelie,40.3,18.5,196
Adelie,33.1,16.1,178
Adelie,43.2,18.5,192
Adelie,35,17.9,192
Adelie,41,20,203
Adelie,37.7,16,183
Adelie,37.8,20,190
Adelie,37.9,18.6,193
Adelie,39.7,18.9,184
Adelie,38.6,17.2,199
Adelie,38.2,20,190
Adelie,38.1,17,181
Adelie,43.2,19,197
Adelie,38.1,16.5,198
Adelie,45.6,20.3,191
Adelie,39.7,17.7,193
Adelie,42.2,19.5,197
Adelie,39.6,20.7,191
Adelie,42.7,18.3,196
Adelie,38.6,17,188
Adelie,37.3,20.5,199
Adelie,35.7,17,189
Adelie,41.1,18.6,189
Adelie,36.2,17.2,187
Adelie,37.7,19.8,198
Adelie,40.2,17,176
Adelie,41.4,18.5,202
Adelie,35.2,15.9,186
Adelie,40.6,19,199
Adelie,38.8,17.6,191
Adelie,41.5,18.3,195
Adelie,39,17.1,191
Adelie,44.1,18,210
Adelie,38.5,17.9,190
Adelie,43.1,19.2,197
Adelie,36.8,18.5,193
Adelie,37.5,18.5,199
Adelie,38.1,17.6,187
Adelie,41.1,17.5,190
Adelie,35.6,17.5,191
Adelie,40.2,20.1,200
Adelie,37,16.5,185
Adelie,39.7,17.9,193
Adelie,40.2,17.1,193
Adelie,40.6,17.2,187
Adelie,32.1,15.5,188
Adelie,40.7,17,190
Adelie,37.3,16.8,192
Adelie,39,18.7,185
Adelie,39.2,18.6,190
Adelie,36.6,18.4,184
Adelie,36,17.8,195
Adelie,37.8,18.1,193
Adelie,36,17.1,187
Adelie,41.5,18.5,201
Chinstrap,46.5,17.9,192
Chinstrap,50,19.5,196
Chinstrap,51.3,19.2,193
Chinstrap,45.4,18.7,188
Chinstrap,52.7,19.8,197
Chinstrap,45.2,17.8,198
Chinstrap,46.1,18.2,178
Chinstrap,51.3,18.2,197
Chinstrap,46,18.9,195
Chinstrap,51.3,19.9,198
Chinstrap,46.6,17.8,193
Chinstrap,51.7,20.3,194
Chinstrap,47,17.3,185
Chinstrap,52,18.1,201
Chinstrap,45.9,17.1,190
Chinstrap,50.5,19.6,201
Chinstrap,50.3,20,197
Chinstrap,58,17.8,181
Chinstrap,46.4,18.6,190
Chinstrap,49.2,18.2,195
Chinstrap,42.4,17.3,181
Chinstrap,48.5,17.5,191
Chinstrap,43.2,16.6,187
Chinstrap,50.6,19.4,193
Chinstrap,46.7,17.9,195
Chinstrap,52,19,197
Chinstrap,50.5,18.4,200
Chinstrap,49.5,19,200
Chinstrap,46.4,17.8,191
Chinstrap,52.8,20,205
Chinstrap,40.9,16.6,187
Chinstrap,54.2,20.8,201
Chinstrap,42.5,16.7,187
Chinstrap,51,18.8,203
Chinstrap,49.7,18.6,195
Chinstrap,47.5,16.8,199
Chinstrap,47.6,18.3,195
Chinstrap,52,20.7,210
Chinstrap,46.9,16.6,192
Chinstrap,53.5,19.9,205
Chinstrap,49,19.5,210
Chinstrap,46.2,17.5,187
Chinstrap,50.9,19.1,196
Chinstrap,45.5,17,196
Chinstrap,50.9,17.9,196
Chinstrap,50.8,18.5,201
Chinstrap,50.1,17.9,190
Chinstrap,49,19.6,212
Chinstrap,51.5,18.7,187
Chinstrap,49.8,17.3,198
Chinstrap,48.1,16.4,199
Chinstrap,51.4,19,201
Chinstrap,45.7,17.3,193
Chinstrap,50.7,19.7,203
Chinstrap,42.5,17.3,187
Chinstrap,52.2,18.8,197
Chinstrap,45.2,16.6,191
Chinstrap,49.3,19.9,203
Chinstrap,50.2,18.8,202
Chinstrap,45.6,19.4,194
Chinstrap,51.9,19.5,206
Chinstrap,46.8,16.5,189
Chinstrap,45.7,17,195
Chinstrap,55.8,19.8,207
Chinstrap,43.5,18.1,202
Chinstrap,49.6,18.2,193
Chinstrap,50.8,19,210
Chinstrap,50.2,18.7,198
Gentoo,46.1,13.2,211
Gentoo,50,16.3,230
Gentoo,48.7,14.1,210
Gentoo,50,15.2,218
Gentoo,47.6,14.5,215
Gentoo,46.5,13.5,210
Gentoo,45.4,14.6,211
Gentoo,46.7,15.3,219
Gentoo,43.3,13.4,209
Gentoo,46.8,15.4,215
Gentoo,40.9,13.7,214
Gentoo,49,16.1,216
Gentoo,45.5,13.7,214
Gentoo,48.4,14.6,213
Gentoo,45.8,14.6,210
Gentoo,49.3,15.7,217
Gentoo,42,13.5,210
Gentoo,49.2,15.2,221
Gentoo,46.2,14.5,209
Gentoo,48.7,15.1,222
Gentoo,50.2,14.3,218
Gentoo,45.1,14.5,215
Gentoo,46.5,14.5,213
Gentoo,46.3,15.8,215
Gentoo,42.9,13.1,215
Gentoo,46.1,15.1,215
Gentoo,44.5,14.3,216
Gentoo,47.8,15,215
Gentoo,48.2,14.3,210
Gentoo,50,15.3,220
Gentoo,47.3,15.3,222
Gentoo,42.8,14.2,209
Gentoo,45.1,14.5,207
Gentoo,59.6,17,230
Gentoo,49.1,14.8,220
Gentoo,48.4,16.3,220
Gentoo,42.6,13.7,213
Gentoo,44.4,17.3,219
Gentoo,44,13.6,208
Gentoo,48.7,15.7,208
Gentoo,42.7,13.7,208
Gentoo,49.6,16,225
Gentoo,45.3,13.7,210
Gentoo,49.6,15,216
Gentoo,50.5,15.9,222
Gentoo,43.6,13.9,217
Gentoo,45.5,13.9,210
Gentoo,50.5,15.9,225
Gentoo,44.9,13.3,213
Gentoo,45.2,15.8,215
Gentoo,46.6,14.2,210
Gentoo,48.5,14.1,220
Gentoo,45.1,14.4,210
Gentoo,50.1,15,225
Gentoo,46.5,14.4,217
Gentoo,45,15.4,220
Gentoo,43.8,13.9,208
Gentoo,45.5,15,220
Gentoo,43.2,14.5,208
Gentoo,50.4,15.3,224
Gentoo,45.3,13.8,208
Gentoo,46.2,14.9,221
Gentoo,45.7,13.9,214
Gentoo,54.3,15.7,231
Gentoo,45.8,14.2,219
Gentoo,49.8,16.8,230
Gentoo,46.2,14.4,214
Gentoo,49.5,16.2,229
Gentoo,43.5,14.2,220
Gentoo,50.7,15,223
Gentoo,47.7,15,216
Gentoo,46.4,15.6,221
Gentoo,48.2,15.6,221
Gentoo,46.5,14.8,217
Gentoo,46.4,15,216
Gentoo,48.6,16,230
Gentoo,47.5,14.2,209
Gentoo,51.1,16.3,220
Gentoo,45.2,13.8,215
Gentoo,45.2,16.4,223
Gentoo,49.1,14.5,212
Gentoo,52.5,15.6,221
Gentoo,47.4,14.6,212
Gentoo,50,15.9,224
Gentoo,44.9,13.8,212
Gentoo,50.8,17.3,228
Gentoo,43.4,14.4,218
Gentoo,51.3,14.2,218
Gentoo,47.5,14,212
Gentoo,52.1,17,230
Gentoo,47.5,15,218
Gentoo,52.2,17.1,228
Gentoo,45.5,14.5,212
Gentoo,49.5,16.1,224
Gentoo,44.5,14.7,214
Gentoo,50.8,15.7,226
Gentoo,49.4,15.8,216
Gentoo,46.9,14.6,222
Gentoo,48.4,14.4,203
Gentoo,51.1,16.5,225
Gentoo,48.5,15,219
Gentoo,55.9,17,228
Gentoo,47.2,15.5,215
Gentoo,49.1,15,228
Gentoo,47.3,13.8,216
Gentoo,46.8,16.1,215
Gentoo,41.7,14.7,210
Gentoo,53.4,15.8,219
Gentoo,43.3,14,208
Gentoo,48.1,15.1,209
Gentoo,50.5,15.2,216
Gentoo,49.8,15.9,229
Gentoo,43.5,15.2,213
Gentoo,51.5,16.3,230
Gentoo,46.2,14.1,217
Gentoo,55.1,16,230
Gentoo,44.5,15.7,217
Gentoo,48.8,16.2,222
Gentoo,47.2,13.7,214
Gentoo,46.8,14.3,215
Gentoo,50.4,15.7,222
Gentoo,45.2,14.8,212
Gentoo,49.9,16.1,213
